count,start_station_id,start_station_name
37945,3409,Bergen St & Smith St
37891,456,E 53 St & Madison Ave
37330,3143,5 Ave & E 78 St
36935,252,MacDougal St & Washington Sq
36855,355,Bayard St & Baxter St
36683,439,E 4 St & 2 Ave
36669,254,W 11 St & 6 Ave
36420,3461,Murray St & Greenwich St
36355,350,Clinton St & Grand St
36307,2010,Grand St & Greene St
36138,2002,Wythe Ave & Metropolitan Ave
36054,470,W 20 St & 8 Ave
36023,485,W 37 St & 5 Ave
35858,296,Division St & Bowery
35498,257,Lispenard St & Broadway
35046,423,W 54 St & 9 Ave
35004,3659,W 17 St & 9 Ave
34998,3687,E 33 St & 1 Ave
34838,502,Henry St & Grand St
34640,3632,E 12 St & Avenue B
34512,279,Peck Slip & Front St
34455,311,Norfolk St & Broome St
34308,3160,Central Park West & W 76 St
34059,309,Murray St & West St
33640,3156,E 72 St & York Ave
33603,3374,Central Park North & Adam Clayton Powell Blvd
33524,440,E 45 St & 3 Ave
33514,484,W 44 St & 5 Ave
33177,345,W 13 St & 6 Ave
33151,369,Washington Pl & 6 Ave
32889,3161,W 76 St & Columbus Ave
32625,441,E 52 St & 2 Ave
32550,217,Old Fulton St
32376,3459,E 53 St & 3 Ave
32356,164,E 47 St & 2 Ave
32225,3431,E 35 St & 3 Ave
31972,259,South St & Whitehall St
31711,391,Clark St & Henry St
31632,513,W 56 St & 10 Ave
31614,3112,Milton St & Franklin St
31468,455,1 Ave & E 44 St
31425,422,W 59 St & 10 Ave
31087,3360,Amsterdam Ave & W 79 St
30985,2000,Front St & Washington St
30815,3171,Amsterdam Ave & W 82 St
30673,3283,W 89 St & Columbus Ave
30418,146,Hudson St & Reade St
30395,3440,Fulton St & Adams St
30060,3090,N 8 St & Driggs Ave
30011,3170,W 84 St & Columbus Ave
29919,3680,E 43 St & 5 Ave
29760,3226,W 82 St & Central Park West
29572,3674,Jay St & York St
29428,150,E 2 St & Avenue C
29207,239,Willoughby St & Fleet St
29142,3684,W 12 St & W 4 St
29017,473,Rivington St & Chrystie St
29000,3658,W 18 St & 9 Ave
28924,79,Franklin St & W Broadway
28910,3173,Riverside Blvd & W 67 St
28788,280,E 10 St & 5 Ave
28478,238,Bank St & Washington St
28408,3314,W 95 St & Broadway
28319,3259,9 Ave & W 28 St
28278,295,Pike St & E Broadway
28044,228,E 48 St & 3 Ave
28017,247,Perry St & Bleecker St
27929,3423,West Drive & Prospect Park West
27893,3107,Bedford Ave & Nassau Ave
27866,3402,Court St & State St
27772,3175,W 70 St & Amsterdam Ave
27540,3092,Berry St & N 8 St
27126,3243,E 58 St & 1 Ave
27100,330,Reade St & Broadway
26866,3166,Riverside Dr & W 72 St
26725,351,Front St & Maiden Ln
26608,467,Dean St & 4 Ave
26563,3372,E 74 St & 1 Ave
26560,3132,E 59 St & Madison Ave
26504,3129,Queens Plaza North & Crescent St
26483,3177,W 84 St & Broadway
26258,357,E 11 St & Broadway
26211,386,Centre St & Worth St
26105,427,Bus Slip & State St
25942,320,Leonard St & Church St
25800,522,E 51 St & Lexington Ave
25510,362,Broadway & W 37 St
25482,3521,Lenox Ave & W 111 St
25396,3318,2 Ave & E 96 St
25254,415,Pearl St & Hanover Square
25241,3119,Vernon Blvd & 50 Ave
25203,323,Lawrence St & Willoughby St
25160,3305,E 91 St & 2 Ave
24989,316,Fulton St & William St
24826,321,Cadman Plaza E & Red Cross Pl
24778,2009,Catherine St & Monroe St
24775,308,St James Pl & Oliver St
24758,302,Avenue D & E 3 St
24696,143,Clinton St & Joralemon St
24593,3301,Columbus Ave & W 95 St
24538,3155,Lexington Ave & E 63 St
24213,3635,W 36 St & 9 Ave
24206,3507,Park Ave & E 124 St
23914,366,Clinton Ave & Myrtle Ave
23834,3466,W 45 St & 6 Ave (OLD)
23757,3086,Graham Ave & Conselyea St
23738,392,Jay St & Tech Pl
23555,3457,E 58 St & Madison Ave
23469,3486,Schermerhorn St & Bond St
23442,406,Hicks St & Montague St
23406,3462,E 44 St & 2 Ave
23381,481,S 3 St & Bedford Ave
23335,389,Broadway & Berry St
23318,3349,Grand Army Plaza & Plaza St West
23231,398,Atlantic Ave & Furman St
23149,3162,W 78 St & Broadway
23139,264,Maiden Ln & Pearl St
23051,324,DeKalb Ave & Hudson Ave
22955,393,E 5 St & Avenue C
22928,454,E 51 St & 1 Ave
22890,376,John St & William St
22836,3136,5 Ave & E 63 St
22619,3232,Bond St & Fulton St
22570,3285,W 87 St & Amsterdam Ave
22363,276,Duane St & Greenwich St
22287,3320,Central Park West & W 100 St
22244,360,William St & Pine St
22162,3148,E 84 St & 1 Ave
22107,314,Cadman Plaza West & Montague St
21886,3367,5 Ave & E 103 St
21881,411,E 6 St & Avenue D
21802,527,E 33 St & 2 Ave
21706,3110,Meserole Ave & Manhattan Ave
21614,342,Columbia St & Rivington St
21604,349,Rivington St & Ridge St
21573,3350,W 100 St & Broadway
21477,2023,E 55 St & Lexington Ave
21413,340,Madison St & Clinton St
21285,534,Water - Whitehall Plaza
21234,356,Bialystoker Pl & Delancey St
21222,157,Henry St & Atlantic Ave
21191,3418,Plaza St West & Flatbush Ave
20896,3534,Frederick Douglass Blvd & W 117 St
20779,3134,3 Ave & E 62 St
20593,3382,Carroll St & Smith St
19909,3203,Hamilton Park
19884,258,DeKalb Ave & Vanderbilt Ave
19880,3113,Greenpoint Ave & Manhattan Ave
19841,270,Adelphi St & Myrtle Ave
19765,3383,Cathedral Pkwy & Broadway
19684,3362,Madison Ave & E 82 St
19631,414,Pearl St & Anchorage Pl
19496,3354,3 St & Prospect Park West
19489,253,W 13 St & 5 Ave
19402,471,Grand St & Havemeyer St
19195,3346,Berkeley Pl & 7 Ave
19193,408,Market St & Cherry St
19166,3169,Riverside Dr & W 82 St
19116,3293,W 92 St & Broadway
19079,266,Avenue D & E 8 St
19013,274,Lafayette Ave & Fort Greene Pl
19004,331,Pike St & Monroe St
18981,516,E 47 St & 1 Ave
18957,332,Cherry St
18839,3172,W 74 St & Columbus Ave
18617,337,Old Slip & Front St
18607,310,State St & Smith St
18381,3351,E 102 St & 1 Ave
18262,390,Duffield St & Willoughby St
18260,3553,Frederick Douglass Blvd & W 112 St
18133,3078,Broadway & Roebling St
18050,341,Stanton St & Mangin St
17991,282,Kent Ave & S 11 St
17945,3315,Henry St & Degraw St
17881,3336,E 97 St & Madison Ave
17879,3711,E 13 St & Avenue A
17695,3108,Nassau Ave & Russell St
17693,3146,E 81 St & 3 Ave
17672,3356,Amsterdam Ave & W 66 St
17656,399,Lafayette Ave & St James Pl
17606,3096,Union Ave & N 12 St
17570,244,Willoughby Ave & Hall St
17540,291,Madison St & Montgomery St
17443,3139,E 72 St & Park Ave
17408,249,Harrison St & Hudson St
17397,3101,N 12 St & Bedford Ave
17281,3087,Metropolitan Ave & Meeker Ave
17038,3242,Schermerhorn St & Court St
17026,3124,46 Ave & 5 St
16696,3292,5 Ave & E 93 St
16606,3368,5 Ave & 3 St
16601,364,Lafayette Ave & Classon Ave
16576,437,Macon St & Nostrand Ave
16455,3697,W 64 St & Thelonious Monk Circle
16413,3116,Huron St & Franklin St
16405,3109,Banker St & Meserole Ave
16403,3376,E 65 St & 2 Ave
16311,3323,W 106 St & Central Park West
16276,3178,Riverside Dr & W 78 St
16202,3082,Hope St & Union Ave
16183,3307,West End Ave & W 94 St
16164,3408,Congress St & Clinton St
16044,3151,E 81 St & York Ave
16035,3145,E 84 St & Park Ave
16003,416,Cumberland St & Lafayette Ave
15966,339,Avenue D & E 12 St
15943,3115,India St & Manhattan Ave
15929,3135,E 75 St & 3 Ave
15849,3417,Baltic St & 5 Ave
15837,3195,Sip Ave
15671,3312,1 Ave & E 94 St
15532,241,DeKalb Ave & S Portland Ave
15514,354,Emerson Pl & Myrtle Ave
15489,3118,McGuinness Blvd & Eagle St
