count,start_station_id,start_station_name,start_station_longitude,start_station_latitude
2519,NULL,NULL,-73.899,40.86
2519,NULL,NULL,-73.899,40.863
2519,NULL,NULL,-73.899,40.866
2519,NULL,NULL,-73.899,40.869
2519,NULL,NULL,-73.896,40.845
2519,NULL,NULL,-73.896,40.848
2519,NULL,NULL,-73.896,40.851
2519,NULL,NULL,-73.896,40.854
2519,NULL,NULL,-73.896,40.857
2519,NULL,NULL,-73.896,40.86
2519,NULL,NULL,-73.896,40.863
2519,NULL,NULL,-73.896,40.866
2519,NULL,NULL,-73.896,40.869
2519,NULL,NULL,-73.893,40.845
2519,NULL,NULL,-73.893,40.848
2519,NULL,NULL,-73.893,40.851
2519,NULL,NULL,-73.893,40.854
2519,NULL,NULL,-73.893,40.857
2519,NULL,NULL,-73.893,40.86
2519,NULL,NULL,-73.893,40.863
2519,NULL,NULL,-73.893,40.866
2519,NULL,NULL,-73.89,40.842
2519,NULL,NULL,-73.89,40.845
2519,NULL,NULL,-73.89,40.848
2519,NULL,NULL,-73.89,40.851
2519,NULL,NULL,-73.89,40.854
2519,NULL,NULL,-73.89,40.857
2519,NULL,NULL,-73.89,40.86
2519,NULL,NULL,-73.89,40.863
2519,NULL,NULL,-73.887,40.839
2519,NULL,NULL,-73.887,40.842
2519,NULL,NULL,-73.887,40.845
2519,NULL,NULL,-73.887,40.848
2519,NULL,NULL,-73.887,40.851
2519,NULL,NULL,-73.887,40.854
2519,NULL,NULL,-73.887,40.857
2519,NULL,NULL,-73.887,40.86
2519,NULL,NULL,-73.887,40.863
2519,NULL,NULL,-73.887,40.866
2519,NULL,NULL,-73.884,40.839
2519,NULL,NULL,-73.884,40.842
2519,NULL,NULL,-73.884,40.845
2519,NULL,NULL,-73.884,40.848
2519,NULL,NULL,-73.884,40.851
2519,NULL,NULL,-73.884,40.854
2519,NULL,NULL,-73.884,40.857
2519,NULL,NULL,-73.884,40.86
2519,NULL,NULL,-73.884,40.863
2519,NULL,NULL,-73.884,40.866
2519,NULL,NULL,-73.881,40.839
2519,NULL,NULL,-73.881,40.842
2519,NULL,NULL,-73.881,40.845
2519,NULL,NULL,-73.881,40.848
2519,NULL,NULL,-73.881,40.851
2519,NULL,NULL,-73.881,40.854
2519,NULL,NULL,-73.881,40.857
2519,NULL,NULL,-73.881,40.86
2519,NULL,NULL,-73.881,40.863
2519,NULL,NULL,-73.878,40.839
2519,NULL,NULL,-73.878,40.842
2519,NULL,NULL,-73.878,40.845
2542,3477,39 St & 2 Ave - Citi Bike HQ at Industry City,-74.01062786579132,40.65539977447831
2589,3612,30 Ave & 21 St,-73.9286078,40.7703743
2601,3691,28 Ave & 44 St,-73.91065120697021,40.76408932350688
2605,3193,Lincoln Park,-74.07840594649315,40.7246050998869
2681,449,W 52 St & 9 Ave,-73.98789473,40.76461837
2686,3679,Bergen Ave,-74.07145500183105,40.722103786686034
2703,3646,35 Ave & 10 St,-73.93985509872437,40.76315481910373
2729,3326,Clinton St & Centre St,-74.00194698,40.67434
2741,3340,Wolcott St & Dwight St,-74.0100698,40.6753274
2754,3337,Dwight St & Van Dyke St,-74.01195555925369,40.67363551341504
2840,3678,Fairmount Ave,-74.07195925712585,40.72572613742557
2872,3585,Union St & Bedford Ave,-73.9554162,40.6691783
2918,3481,York St,-74.04105,40.71649
2999,430,York St & Jay St,-73.98656928,40.7014851
3022,3513,21 St & Hoyt Ave S,-73.923706,40.774645
3026,3587,Carroll St & Washington Ave,-73.9618148,40.6686744
3076,3505,Lexington Ave & E 127 St,-73.936322,40.805726
3163,3280,Astor Place,-74.07126188278198,40.71928220070702
3180,3128,21 St & 43 Ave,-73.94594845,40.75052534
3203,3073,Division Ave & Hooper St,-73.95441667,40.70691254
3233,3103,N 11 St & Wythe Ave,-73.95782357,40.72153267
3242,3342,Pioneer St & Richards St,-74.0094613,40.6777748
3292,3061,Throop Ave & Myrtle Ave,-73.94371094,40.69622937
3322,3554,Vernon Blvd & 41 Rd,-73.9485678,40.7552433
3372,152,Warren St & Church St,-74.00910627,40.71473993
3379,3393,Richards St & Delavan St,-74.00785041,40.6794327
3383,3546,Pacific St & Classon Ave,-73.9587903,40.6791944
3415,3225,Baldwin at Montgomery,-74.0641943,40.7236589
3428,3566,Crescent St & 35 Ave,-73.9321455,40.7596276
3436,3506,Lexington Ave & E 120 St,-73.9398167,40.8013066
3438,119,Park Ave & St Edwards St,-73.97803415,40.69608941
3450,3352,Sigourney St & Columbia St,-74.0087952464819,40.67267243410948
3518,3483,Montgomery St,-74.05099,40.71942
3580,3455,Schermerhorn St & 3 Ave,-73.98036181926727,40.68680820503432
3594,3573,35 St & 34 Ave,-73.9242751,40.7580583
3600,3607,31 Ave & 14 St,-73.9322662,40.7682
3604,3456,Jackson St & Leonard St,-73.94821286201477,40.71638031973561
3637,3654,31 St & Northern Blvd,-73.93349289894103,40.75186951421875
3665,3043,Lewis Ave & Decatur St,-73.934903,40.6814598
3687,3715,Driggs Ave & N 9 St,-73.95520135760307,40.71816969454208
3740,3503,Madison Ave & E 120 St,-73.942954,40.80295
3794,3522,37 St & 24 Ave,-73.9120938,40.7701477
3798,3523,24 Ave & 29 St,-73.916142,40.7729
3814,3299,E 98 St & Park Ave,-73.95206,40.78813
3817,3543,Morningside Dr & Amsterdam Ave,-73.95736455917358,40.81028506306003
3818,3608,5 St & 51 Ave,-73.9566,40.7423737
3829,3577,34 Ave & 21 St,-73.9342862,40.7628138
3855,3609,Vernon Blvd & 31 Ave,-73.9354504,40.7692475
3858,3075,Division Ave & Marcy Ave,-73.95796783,40.70708701
3878,3127,9 St & 44 Rd,-73.9521,40.74966
3884,3561,37 Ave & 35 St,-73.9279917,40.7531106
3941,3589,Broadway & 12 St,-73.9347774,40.7668
3946,3059,Pulaski St & Marcus Garvey Blvd,-73.939877,40.6933982
3947,3392,Commerce St & Van Brunt St,-74.00860912,40.6812117
3972,3598,Newton Rd & 44 St,-73.9142678,40.7595701
3980,3327,3 Ave & E 100 St,-73.94728331,40.7877214
3983,3630,Frederick Douglass Blvd & W 115 St,-73.9559308,40.8038654
